user_id,timestamp,ip,known_location,declared_city,declared_region,declared_country,timezone_offset,user_agent,device_type,network_type,asn,vpn_flag,proxy_flag,hosting_flag,ip_reputation,is_new_device,country_change,distance_from_prev_km,time_since_prev_min,travel_speed_kmh,timezone_mismatch,scenario_type,expected_result
u001,2026-05-02 09:40:00,181.50.10.44,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,0.0,0.0,0,habitual,bajo
u001,2026-05-02 14:17:00,181.50.10.88,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,277.0,0.0,0,habitual,bajo
u001,2026-05-03 19:30:00,181.50.10.64,Bogota,Medellin,Antioquia,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,238.6,1753.0,8.2,0,legit_unusual,medio
u001,2026-05-03 20:34:00,181.50.10.210,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,238.6,64.0,223.7,0,habitual,bajo
u001,2026-05-04 18:32:00,181.50.10.33,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,1318.0,0.0,0,habitual,bajo
u001,2026-05-04 20:09:00,181.50.10.165,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,97.0,0.0,0,habitual,bajo
u001,2026-05-05 14:22:00,181.50.10.66,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,-357.0,0.0,0,habitual,bajo
u001,2026-05-05 20:19:00,181.50.10.29,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,1450.0,0.0,0,habitual,bajo
u001,2026-05-06 14:49:00,181.50.10.183,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,1467.0,0.0,0,habitual,bajo
u001,2026-05-06 15:09:00,45.155.205.16,Bogota,Moscow,Moscow,Russia,+03:00,Tor Browser,desktop,vpn,AS9009,1,0,0,medium,0,1,10898.4,20.0,32695.2,1,suspicious,alto
u001,2026-05-07 20:50:00,181.50.10.130,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,1,10898.4,1781.0,367.2,0,habitual,bajo
u001,2026-05-08 06:27:00,181.50.10.185,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,577.0,0.0,0,ambiguous,medio
u001,2026-05-08 08:26:00,181.50.10.50,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,119.0,0.0,0,habitual,bajo
u001,2026-05-09 04:23:00,103.87.68.120,Bogota,Sao Paulo,Sao Paulo,Brazil,-03:00,Firefox Linux,desktop,tor,AS16276,0,1,0,high,0,1,4327.7,1197.0,216.9,1,suspicious,alto
u001,2026-05-09 09:40:00,181.50.10.56,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,1,4327.7,317.0,819.1,0,habitual,bajo
u001,2026-05-10 08:46:00,181.50.10.136,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,1386.0,0.0,0,habitual,bajo
u001,2026-05-10 14:10:00,181.50.10.172,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,324.0,0.0,0,habitual,bajo
u001,2026-05-11 10:00:00,181.50.10.172,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,-659.0,0.0,0,habitual,bajo
u001,2026-05-11 20:59:00,181.50.10.140,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,1849.0,0.0,0,habitual,bajo
u001,2026-05-12 08:13:00,181.50.10.162,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,1333.0,0.0,0,habitual,bajo
u001,2026-05-13 18:51:00,181.50.10.185,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,2078.0,0.0,0,habitual,bajo
u001,2026-05-13 20:30:00,181.50.10.59,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,99.0,0.0,0,habitual,bajo
u001,2026-05-14 09:02:00,181.50.10.188,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,752.0,0.0,0,habitual,bajo
u001,2026-05-14 18:47:00,181.50.10.71,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,585.0,0.0,0,habitual,bajo
u001,2026-05-15 18:31:00,181.50.10.35,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,-115.0,0.0,0,habitual,bajo
u001,2026-05-15 20:26:00,181.50.10.139,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,1539.0,0.0,0,habitual,bajo
u001,2026-05-16 08:13:00,181.50.10.43,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,-25.0,0.0,0,habitual,bajo
u001,2026-05-16 08:38:00,181.50.10.38,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,847.0,0.0,0,habitual,bajo
u001,2026-05-17 12:33:00,181.50.10.129,Bogota,Medellin,Antioquia,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,238.6,-329.0,0.0,0,legit_unusual,medio
u001,2026-05-17 18:02:00,181.50.10.106,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,2029.0,0.0,0,habitual,bajo
u001,2026-05-18 18:36:00,181.50.10.178,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,238.6,1803.0,7.9,0,habitual,bajo
u001,2026-05-19 20:01:00,181.50.10.74,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,1525.0,0.0,0,habitual,bajo
u001,2026-05-19 20:28:00,181.50.10.181,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,27.0,0.0,0,habitual,bajo
u001,2026-05-20 16:11:00,181.50.10.109,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,1183.0,0.0,0,habitual,bajo
u001,2026-05-20 16:49:00,181.50.10.80,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,38.0,0.0,0,habitual,bajo
u001,2026-05-21 14:06:00,181.50.10.202,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,238.6,-457.0,0.0,0,habitual,bajo
u001,2026-05-21 21:43:00,190.85.77.135,Bogota,Medellin,Antioquia,Colombia,-05:00,Chrome Windows,desktop,corporate,AS10620,0,0,0,medium,0,0,238.6,1734.0,8.3,0,legit_unusual,medio
u001,2026-05-22 14:37:00,181.50.10.150,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,-338.0,0.0,0,habitual,bajo
u001,2026-05-22 20:15:00,181.50.10.195,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,0.0,1809.0,0.0,0,habitual,bajo
u001,2026-05-23 12:01:00,190.85.77.88,Bogota,Cali,Valle del Cauca,Colombia,-05:00,Chrome Windows,desktop,corporate,AS10620,0,0,0,medium,0,0,306.7,1284.0,14.3,0,legit_unusual,medio
u001,2026-05-23 14:30:00,181.50.10.182,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Chrome Windows,desktop,residential,AS10620,0,0,0,low,0,0,306.7,149.0,123.5,0,habitual,bajo
