user_id,timestamp,ip,known_location,declared_city,declared_region,declared_country,timezone_offset,user_agent,device_type,network_type,asn,is_proxy,is_vpn,is_hosting,ip_reputation,is_new_device,country_change,distance_from_prev_km,time_since_prev_min,travel_speed_kmh,timezone_mismatch,scenario_type,expected_result
u001,2026-05-02T12:59:00,181.52.219.241,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Safari macOS,mobile,corporate,AS14080,0,0,0,low,0,0,5.2,1450.0,0.2,0,habitual,bajo
u001,2026-05-03T10:13:00,190.68.196.157,Bogota,Manizales,Caldas,Colombia,-05:00,Safari macOS,desktop,public_wifi,AS14080,0,0,0,low,0,0,318.4,2324.0,8.2,0,legit_unusual,bajo
u001,2026-05-03T12:08:00,181.55.120.34,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Safari macOS,mobile,mobile,AS19429,0,0,0,low,0,0,7.4,115.0,3.9,0,habitual,bajo
u001,2026-05-04T17:08:00,181.56.166.175,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Safari macOS,mobile,residential,AS19429,0,0,0,low,0,0,6.5,1740.0,0.2,0,habitual,bajo
u001,2026-05-05T08:14:00,181.50.245.203,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Safari macOS,mobile,residential,AS3816,0,0,0,low,0,0,4.2,906.0,0.3,0,habitual,bajo
u001,2026-05-05T11:20:00,159.65.2.149,Bogota,Singapore,Central,Singapore,+08:00,Unknown Bot,mobile,vpn,AS9009,0,1,0,high,1,1,11292.1,174.0,3893.8,1,suspicious,alto
u001,2026-05-05T18:22:00,181.49.149.117,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Safari macOS,mobile,corporate,AS10620,0,0,0,low,0,0,5.8,422.0,0.8,0,habitual,bajo
u001,2026-05-06T09:12:00,167.99.111.145,Bogota,Mexico City,CDMX,Mexico,-06:00,Headless Chrome,mobile,hosting,AS9009,0,0,1,medium,1,1,6660.3,97.0,4119.8,1,suspicious,alto
u001,2026-05-07T13:02:00,181.52.128.158,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Safari macOS,mobile,corporate,AS14080,0,0,0,low,0,0,3.5,1670.0,0.1,0,habitual,bajo
u001,2026-05-08T14:45:00,181.56.79.142,Bogota,Bogota,Cundinamarca,Colombia,-05:00,Safari macOS,mobile,residential,AS10620,0,0,0,low,0,0,3.0,1543.0,0.1,0,habitual,bajo
